id,first_name,last_name,email,active
2,Myranda,Tire,mtire1@vkontakte.ru,1
3,Remus,Dorian,rdorian2@twitpic.com,1
4,Stesha,Suddock,ssuddock3@ycombinator.com,1
5,Serge,Daws,sdaws4@usgs.gov,1
6,Ettie,Maddison,emaddison5@fastcompany.com,0
7,Giffy,Biernat,gbiernat6@fastcompany.com,1
8,Vitoria,Ommundsen,vommundsen7@narod.ru,1
9,Mirella,Wisden,mwisden8@homestead.com,0
10,Ami,Santus,asantus9@archive.org,1
11,Otto,Hursthouse,ohursthousea@wordpress.com,1
12,Sherrie,Pelos,spelosb@ucsd.edu,1
13,Doreen,Loyndon,dloyndonc@columbia.edu,1
14,Raddy,Maber,rmaberd@ihg.com,1
15,Coralie,Pechan,cpechane@netlog.com,0
16,Ira,Allmann,iallmannf@ucoz.com,0
17,Silvester,Siseland,ssiselandg@smh.com.au,1
18,Raviv,Dwane,rdwaneh@amazon.co.jp,1
19,Rianon,Wansbury,rwansburyi@marketwatch.com,1
20,Zacharie,Vardey,zvardeyj@wufoo.com,0
21,Ofelia,Meriet,omerietk@domainmarket.com,1
22,Minta,Du Fray,mdufrayl@cmu.edu,1
23,Baillie,McDougal,bmcdougalm@dagondesign.com,1
24,Dunstan,Schimpke,dschimpken@nih.gov,1
25,Ab,Dackombe,adackombeo@un.org,1
26,Cyrillus,Lakin,clakinp@indiegogo.com,1
27,Jori,Gully,jgullyq@flickr.com,0
28,Brod,Besse,bbesser@taobao.com,1
29,Edie,Corderoy,ecorderoys@nationalgeographic.com,1
30,Ethe_is_back,Book,ebook0@twitter.com,1
